Epoch: 44/5000 | Train loss: 5.6221 | Val loss: 5.1942 | Best loss: 5.1942 | Time for epoch: 0:00:05 | ETA: 7:14:32
Epoch: 45/5000 | Train loss: 4.6257 | Val loss: 3.8483 | Best loss: 3.8483 | Time for epoch: 0:00:05 | ETA: 7:14:41
Epoch: 46/5000 | Train loss: 3.9755 | Val loss: 3.8807 | Best loss: 3.8483 | Time for epoch: 0:00:05 | ETA: 7:14:37
Epoch: 47/5000 | Train loss: 3.7010 | Val loss: 3.6533 | Best loss: 3.6533 | Time for epoch: 0:00:05 | ETA: 7:14:32
Epoch: 48/5000 | Train loss: 3.5763 | Val loss: 3.5513 | Best loss: 3.5513 | Time for epoch: 0:00:05 | ETA: 7:14:34
Epoch: 49/5000 | Train loss: 3.5074 | Val loss: 3.4676 | Best loss: 3.4676 | Time for epoch: 0:00:05 | ETA: 7:14:28
Epoch: 50/5000 | Train loss: 3.4773 | Val loss: 3.4476 | Best loss: 3.4476 | Time for epoch: 0:00:05 | ETA: 7:14:23
Epoch: 51/5000 | Train loss: 3.4336 | Val loss: 3.4018 | Best loss: 3.4018 | Time for epoch: 0:00:05 | ETA: 7:14:28
Epoch: 52/5000 | Train loss: 3.4156 | Val loss: 3.4778 | Best loss: 3.4018 | Time for epoch: 0:00:05 | ETA: 7:14:25
Epoch: 53/5000 | Train loss: 3.5442 | Val loss: 3.6590 | Best loss: 3.4018 | Time for epoch: 0:00:05 | ETA: 7:14:22
Epoch: 54/5000 | Train loss: 3.5264 | Val loss: 3.4149 | Best loss: 3.4018 | Time for epoch: 0:00:05 | ETA: 7:14:18
Epoch: 55/5000 | Train loss: 3.4528 | Val loss: 3.4177 | Best loss: 3.4018 | Time for epoch: 0:00:05 | ETA: 7:14:10
Epoch: 56/5000 | Train loss: 3.4151 | Val loss: 3.3592 | Best loss: 3.3592 | Time for epoch: 0:00:05 | ETA: 7:14:13
Epoch: 57/5000 | Train loss: 3.3639 | Val loss: 3.3728 | Best loss: 3.3592 | Time for epoch: 0:00:05 | ETA: 7:14:06
Epoch: 58/5000 | Train loss: 3.3511 | Val loss: 3.3354 | Best loss: 3.3354 | Time for epoch: 0:00:05 | ETA: 7:13:59
Epoch: 59/5000 | Train loss: 3.3360 | Val loss: 3.3318 | Best loss: 3.3318 | Time for epoch: 0:00:05 | ETA: 7:13:49
Epoch: 60/5000 | Train loss: 3.3233 | Val loss: 3.3133 | Best loss: 3.3133 | Time for epoch: 0:00:05 | ETA: 7:13:34
Epoch: 61/5000 | Train loss: 3.3119 | Val loss: 3.3053 | Best loss: 3.3053 | Time for epoch: 0:00:05 | ETA: 7:13:26
Epoch: 62/5000 | Train loss: 3.3129 | Val loss: 3.3373 | Best loss: 3.3053 | Time for epoch: 0:00:05 | ETA: 7:13:22
Epoch: 63/5000 | Train loss: 3.3129 | Val loss: 3.3014 | Best loss: 3.3014 | Time for epoch: 0:00:05 | ETA: 7:13:12
Epoch: 64/5000 | Train loss: 3.2991 | Val loss: 3.2905 | Best loss: 3.2905 | Time for epoch: 0:00:05 | ETA: 7:13:00
Epoch: 65/5000 | Train loss: 3.2932 | Val loss: 3.2856 | Best loss: 3.2856 | Time for epoch: 0:00:05 | ETA: 7:12:53
Epoch: 66/5000 | Train loss: 3.2898 | Val loss: 3.2939 | Best loss: 3.2856 | Time for epoch: 0:00:05 | ETA: 7:12:47
Epoch: 67/5000 | Train loss: 3.2864 | Val loss: 3.2771 | Best loss: 3.2771 | Time for epoch: 0:00:05 | ETA: 7:12:44
Epoch: 68/5000 | Train loss: 3.2789 | Val loss: 3.2773 | Best loss: 3.2771 | Time for epoch: 0:00:05 | ETA: 7:12:32
Epoch: 69/5000 | Train loss: 3.2861 | Val loss: 3.3095 | Best loss: 3.2771 | Time for epoch: 0:00:05 | ETA: 7:12:29
Epoch: 70/5000 | Train loss: 3.2974 | Val loss: 3.2710 | Best loss: 3.2710 | Time for epoch: 0:00:05 | ETA: 7:12:17
Epoch: 71/5000 | Train loss: 3.2887 | Val loss: 3.2751 | Best loss: 3.2710 | Time for epoch: 0:00:05 | ETA: 7:12:00
Epoch: 72/5000 | Train loss: 3.2792 | Val loss: 3.2763 | Best loss: 3.2710 | Time for epoch: 0:00:05 | ETA: 7:11:48
Epoch: 73/5000 | Train loss: 3.2786 | Val loss: 3.2877 | Best loss: 3.2710 | Time for epoch: 0:00:05 | ETA: 7:11:40
Epoch: 74/5000 | Train loss: 3.2928 | Val loss: 3.2939 | Best loss: 3.2710 | Time for epoch: 0:00:05 | ETA: 7:11:38
Epoch: 75/5000 | Train loss: 3.2788 | Val loss: 3.2701 | Best loss: 3.2701 | Time for epoch: 0:00:05 | ETA: 7:11:28
Epoch: 76/5000 | Train loss: 3.2810 | Val loss: 3.2831 | Best loss: 3.2701 | Time for epoch: 0:00:05 | ETA: 7:11:13
Epoch: 77/5000 | Train loss: 3.2678 | Val loss: 3.2595 | Best loss: 3.2595 | Time for epoch: 0:00:05 | ETA: 7:11:01
Epoch: 78/5000 | Train loss: 3.2581 | Val loss: 3.2548 | Best loss: 3.2548 | Time for epoch: 0:00:05 | ETA: 7:10:55
Epoch: 79/5000 | Train loss: 3.2571 | Val loss: 3.2529 | Best loss: 3.2529 | Time for epoch: 0:00:05 | ETA: 7:10:50
Epoch: 80/5000 | Train loss: 3.2584 | Val loss: 3.2861 | Best loss: 3.2529 | Time for epoch: 0:00:05 | ETA: 7:10:43
Epoch: 81/5000 | Train loss: 3.2929 | Val loss: 3.3728 | Best loss: 3.2529 | Time for epoch: 0:00:05 | ETA: 7:10:35
Epoch: 82/5000 | Train loss: 3.3509 | Val loss: 3.4161 | Best loss: 3.2529 | Time for epoch: 0:00:05 | ETA: 7:10:32
Epoch: 83/5000 | Train loss: 3.3664 | Val loss: 3.3541 | Best loss: 3.2529 | Time for epoch: 0:00:05 | ETA: 7:10:27
Epoch: 84/5000 | Train loss: 3.3363 | Val loss: 3.3359 | Best loss: 3.2529 | Time for epoch: 0:00:05 | ETA: 7:10:25
Epoch: 85/5000 | Train loss: 3.3153 | Val loss: 3.2684 | Best loss: 3.2529 | Time for epoch: 0:00:05 | ETA: 7:10:13
Epoch: 86/5000 | Train loss: 3.3012 | Val loss: 3.2663 | Best loss: 3.2529 | Time for epoch: 0:00:05 | ETA: 7:10:11
Epoch: 87/5000 | Train loss: 3.2845 | Val loss: 3.2767 | Best loss: 3.2529 | Time for epoch: 0:00:05 | ETA: 7:10:07
